repo_name,slice_id,first_commit_num,first_commit,first_state,first_cf_commit_num,first_cf_commit,first_cf_state,starts_as_cf,timeline_len,cf_occurrence_count,cf_commit_nums,cf_commits,state_path,timeline,has_cf
Cloakify,<module>@cloakify.py_slice.py,0,a6bc2,Undetermined,,,,0,8,0,,,Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined,0(a6bc2):Undetermined -> 1(93e0a):Undetermined -> 2(25478):Undetermined -> 3(efb82):Undetermined -> 4(52c52):Undetermined -> 7(9191f):Undetermined -> 8(c3ddb):Undetermined -> 9(d3797):Undetermined,0
Cloakify,<module>@cloakifyFactory.py_slice.py,7,9191f,Benign,,,,0,3,0,,,Benign -> Benign -> Benign,7(9191f):Benign -> 8(c3ddb):Benign -> 9(d3797):Benign,0
Cloakify,<module>@decloakify.py_slice.py,0,a6bc2,Undetermined,,,,0,10,0,,,Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined,0(a6bc2):Undetermined -> 1(93e0a):Undetermined -> 2(25478):Undetermined -> 3(efb82):Undetermined -> 4(52c52):Undetermined -> 5(c33f4):Undetermined -> 6(f86f1):Undetermined -> 7(9191f):Undetermined -> 8(c3ddb):Undetermined -> 9(d3797):Undetermined,0
Cloakify,<module>@noiseTools_prepend4digitID.py_slice.py,2,25478,Undetermined,,,,0,4,0,,,Undetermined -> Undetermined -> Undetermined -> Undetermined,2(25478):Undetermined -> 3(efb82):Undetermined -> 4(52c52):Undetermined -> 5(c33f4):Undetermined,0
Cloakify,<module>@noiseTools_prependEmoji.py_slice.py,8,c3ddb,Undetermined,,,,0,2,0,,,Undetermined -> Undetermined,8(c3ddb):Undetermined -> 9(d3797):Undetermined,0
Cloakify,<module>@noiseTools_prependID.py_slice.py,4,52c52,Undetermined,,,,0,4,0,,,Undetermined -> Undetermined -> Undetermined -> Undetermined,4(52c52):Undetermined -> 5(c33f4):Undetermined -> 6(f86f1):Undetermined -> 7(9191f):Undetermined,0
Cloakify,<module>@noiseTools_prependLatLonCoords.py_slice.py,2,25478,Benign,,,,0,6,0,,,Benign -> Benign -> Benign -> Benign -> Benign -> Benign,2(25478):Benign -> 3(efb82):Benign -> 4(52c52):Benign -> 5(c33f4):Benign -> 6(f86f1):Benign -> 7(9191f):Benign,0
Cloakify,<module>@noiseTools_prependTimestamps.py_slice.py,1,93e0a,Benign,,,,0,7,0,,,Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign,1(93e0a):Benign -> 2(25478):Benign -> 3(efb82):Benign -> 4(52c52):Benign -> 5(c33f4):Benign -> 6(f86f1):Benign -> 7(9191f):Benign,0
Cloakify,<module>@removeNoise.py_slice.py,7,9191f,Benign,,,,0,3,0,,,Benign -> Benign -> Benign,7(9191f):Benign -> 8(c3ddb):Benign -> 9(d3797):Benign,0
Diffie-Hellman_Backdoor,<module>@backdoor_generator_dhparams_exporter.py_slice.py,2,56867,Benign,,,,0,3,0,,,Benign -> Benign -> Benign,2(56867):Benign -> 3(7dc06):Benign -> 4(f9dba):Benign,0
