repo_name,slice_id,chain_type,start_state,timeline_len,has_bu,has_c,has_f,first_core_commit_num,first_full_commit_num,has_full_commit0,state_path,timeline
1stMalware,<body>@modules_crypt_crypt.py_slice.py,benign_or_undetermined_to_core,Undetermined,8,1,1,0,4,,0,Undetermined -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,3(f5809):Undetermined -> 4(c45da):Core Attack Chain -> 5(426f7):Core Attack Chain -> 6(21b58):Core Attack Chain -> 7(3a8ed):Core Attack Chain -> 8(03ca7):Core Attack Chain -> 9(47f7a):Core Attack Chain -> 10(3a1e0):Core Attack Chain
1stMalware,<body>@modules_rights_getRights.py_slice.py,all_benign_or_undetermined,Undetermined,8,1,0,0,,,0,Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined,3(f5809):Undetermined -> 4(c45da):Undetermined -> 5(426f7):Undetermined -> 6(21b58):Undetermined -> 7(3a8ed):Undetermined -> 8(03ca7):Undetermined -> 9(47f7a):Undetermined -> 10(3a1e0):Undetermined
1stMalware,<module>@main.py_slice.py,all_core,Core Attack Chain,5,0,1,0,6,,0,Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,6(21b58):Core Attack Chain -> 7(3a8ed):Core Attack Chain -> 8(03ca7):Core Attack Chain -> 9(47f7a):Core Attack Chain -> 10(3a1e0):Core Attack Chain
1stMalware,<module>@modules_crypt_crypt.py_slice.py,all_core,Core Attack Chain,2,0,1,0,1,,0,Core Attack Chain -> Core Attack Chain,1(ba466):Core Attack Chain -> 2(177b1):Core Attack Chain
1stMalware,<module>@modules_network_smtp.py_slice.py,all_full,Full Attack Chain,1,0,0,1,,6,0,Full Attack Chain,6(21b58):Full Attack Chain
1stMalware,<module>@modules_network_stmpgmail.py_slice.py,all_full,Full Attack Chain,1,0,0,1,,7,0,Full Attack Chain,7(3a8ed):Full Attack Chain
1stMalware,<module>@test.py_slice.py,all_benign_or_undetermined,Benign,3,1,0,0,,,0,Benign -> Benign -> Benign,0(3fd09):Benign -> 2(177b1):Benign -> 3(f5809):Benign
Backdoorcreator,<module>@backdoorcreate.py_slice.py,all_full,Full Attack Chain,8,0,0,1,,0,1,Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain,0(04d0c):Full Attack Chain -> 1(22da0):Full Attack Chain -> 2(677e6):Full Attack Chain -> 3(697db):Full Attack Chain -> 4(ad97a):Full Attack Chain -> 5(c92d2):Full Attack Chain -> 6(1ce4c):Full Attack Chain -> 7(417b1):Full Attack Chain
Backdoorcreator,<module>@server.py_slice.py,all_benign_or_undetermined,Undetermined,8,1,0,0,,,0,Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined,0(04d0c):Undetermined -> 1(22da0):Undetermined -> 2(677e6):Undetermined -> 3(697db):Undetermined -> 4(ad97a):Undetermined -> 5(c92d2):Undetermined -> 6(1ce4c):Undetermined -> 7(417b1):Undetermined
Basic-Keylogger,<module>@keylogger.py_slice.py,all_core,Core Attack Chain,4,0,1,0,0,,0,Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,0(5a51a):Core Attack Chain -> 1(808fa):Core Attack Chain -> 2(b573a):Core Attack Chain -> 3(00252):Core Attack Chain
BskyBot,<body>@bot.py_slice.py,all_core,Core Attack Chain,7,0,1,0,6,,0,Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,6(57dd6):Core Attack Chain -> 7(7e97f):Core Attack Chain -> 8(e0939):Core Attack Chain -> 9(d789a):Core Attack Chain -> 10(baced):Core Attack Chain -> 11(fbe51):Core Attack Chain -> 12(b40cc):Core Attack Chain
BskyBot,<body>@bot_bot.py_slice.py,all_core,Core Attack Chain,2,0,1,0,4,,0,Core Attack Chain -> Core Attack Chain,4(bae5f):Core Attack Chain -> 5(b7819):Core Attack Chain
BskyBot,<body>@controller.py_slice.py,all_benign_or_undetermined,Undetermined,6,1,0,0,,,0,Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined,7(7e97f):Undetermined -> 8(e0939):Undetermined -> 9(d789a):Undetermined -> 10(baced):Undetermined -> 11(fbe51):Undetermined -> 12(b40cc):Undetermined
BskyBot,<body>@controller_main.py_slice.py,all_benign_or_undetermined,Benign,2,1,0,0,,,0,Benign -> Benign,4(bae5f):Benign -> 5(b7819):Benign
