repo_name,slice_id,first_commit_num,first_commit,first_state,first_core_commit_num,first_core_commit,starts_as_core,timeline_len,core_occurrence_count,core_commit_nums,core_commits,state_path,timeline
1stMalware,<body>@modules_crypt_crypt.py_slice.py,3,f5809,Core Attack Chain,3,f5809,1,8,8,3;4;5;6;7;8;9;10,f5809;c45da;426f7;21b58;3a8ed;03ca7;47f7a;3a1e0,Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,3(f5809):Core Attack Chain -> 4(c45da):Core Attack Chain -> 5(426f7):Core Attack Chain -> 6(21b58):Core Attack Chain -> 7(3a8ed):Core Attack Chain -> 8(03ca7):Core Attack Chain -> 9(47f7a):Core Attack Chain -> 10(3a1e0):Core Attack Chain
1stMalware,<body>@modules_rights_getRights.py_slice.py,3,f5809,Core Attack Chain,3,f5809,1,8,8,3;4;5;6;7;8;9;10,f5809;c45da;426f7;21b58;3a8ed;03ca7;47f7a;3a1e0,Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,3(f5809):Core Attack Chain -> 4(c45da):Core Attack Chain -> 5(426f7):Core Attack Chain -> 6(21b58):Core Attack Chain -> 7(3a8ed):Core Attack Chain -> 8(03ca7):Core Attack Chain -> 9(47f7a):Core Attack Chain -> 10(3a1e0):Core Attack Chain
1stMalware,<module>@modules_crypt_crypt.py_slice.py,1,ba466,Core Attack Chain,1,ba466,1,2,2,1;2,ba466;177b1,Core Attack Chain -> Core Attack Chain,1(ba466):Core Attack Chain -> 2(177b1):Core Attack Chain
Basic-Keylogger,<module>@keylogger.py_slice.py,0,5a51a,Core Attack Chain,0,5a51a,1,4,4,0;1;2;3,5a51a;808fa;b573a;00252,Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,0(5a51a):Core Attack Chain -> 1(808fa):Core Attack Chain -> 2(b573a):Core Attack Chain -> 3(00252):Core Attack Chain
BskyBot,<body>@bot.py_slice.py,6,57dd6,Core Attack Chain,6,57dd6,1,7,7,6;7;8;9;10;11;12,57dd6;7e97f;e0939;d789a;baced;fbe51;b40cc,Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,6(57dd6):Core Attack Chain -> 7(7e97f):Core Attack Chain -> 8(e0939):Core Attack Chain -> 9(d789a):Core Attack Chain -> 10(baced):Core Attack Chain -> 11(fbe51):Core Attack Chain -> 12(b40cc):Core Attack Chain
BskyBot,<body>@bot_bot.py_slice.py,4,bae5f,Core Attack Chain,4,bae5f,1,2,2,4;5,bae5f;b7819,Core Attack Chain -> Core Attack Chain,4(bae5f):Core Attack Chain -> 5(b7819):Core Attack Chain
BskyBot,<body>@controller.py_slice.py,7,7e97f,Core Attack Chain,7,7e97f,1,6,6,7;8;9;10;11;12,7e97f;e0939;d789a;baced;fbe51;b40cc,Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,7(7e97f):Core Attack Chain -> 8(e0939):Core Attack Chain -> 9(d789a):Core Attack Chain -> 10(baced):Core Attack Chain -> 11(fbe51):Core Attack Chain -> 12(b40cc):Core Attack Chain
HackerDoomsday,<module>@regedit_and_virus_safe.py_slice.py,3,90d6a,Core Attack Chain,3,90d6a,1,21,19,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;20;21;22;23,90d6a;4dce8;96855;74617;55bbf;63891;587b0;b73db;cfc7a;22e8b;584b5;79e7c;2b860;de183;2bf39;9b8ec;88b3c;3b318;cc00d,Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Undetermined -> Undetermined -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,3(90d6a):Core Attack Chain -> 4(4dce8):Core Attack Chain -> 5(96855):Core Attack Chain -> 6(74617):Core Attack Chain -> 7(55bbf):Core Attack Chain -> 8(63891):Core Attack Chain -> 9(587b0):Core Attack Chain -> 10(b73db):Core Attack Chain -> 11(cfc7a):Core Attack Chain -> 12(22e8b):Core Attack Chain -> 13(584b5):Core Attack Chain -> 14(79e7c):Core Attack Chain -> 15(2b860):Core Attack Chain -> 16(de183):Core Attack Chain -> 17(2bf39):Core Attack Chain -> 18(b4360):Undetermined -> 19(09785):Undetermined -> 20(9b8ec):Core Attack Chain -> 21(88b3c):Core Attack Chain -> 22(3b318):Core Attack Chain -> 23(cc00d):Core Attack Chain
HackerDoomsday,worker@regedit_and_virus_safe.py_slice.py,14,79e7c,Core Attack Chain,14,79e7c,1,2,1,14,79e7c,Core Attack Chain -> Benign,14(79e7c):Core Attack Chain -> 18(b4360):Benign
KMike,<body>@c_and_c_server_asymmetric_encryption.py_slice.py,13,1ccc9,Core Attack Chain,13,1ccc9,1,27,27,13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39,1ccc9;62b21;abafd;33184;d75a9;6e12c;260e6;c18d4;bf4f9;1f1ca;b7edb;51fa8;7aa7d;36360;9873a;ef755;658cc;6201f;3a48f;8ed32;55750;3f8b3;a7ccd;602d0;a6b60;ad463;3af22,Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,13(1ccc9):Core Attack Chain -> 14(62b21):Core Attack Chain -> 15(abafd):Core Attack Chain -> 16(33184):Core Attack Chain -> 17(d75a9):Core Attack Chain -> 18(6e12c):Core Attack Chain -> 19(260e6):Core Attack Chain -> 20(c18d4):Core Attack Chain -> 21(bf4f9):Core Attack Chain -> 22(1f1ca):Core Attack Chain -> 23(b7edb):Core Attack Chain -> 24(51fa8):Core Attack Chain -> 25(7aa7d):Core Attack Chain -> 26(36360):Core Attack Chain -> 27(9873a):Core Attack Chain -> 28(ef755):Core Attack Chain -> 29(658cc):Core Attack Chain -> 30(6201f):Core Attack Chain -> 31(3a48f):Core Attack Chain -> 32(8ed32):Core Attack Chain -> 33(55750):Core Attack Chain -> 34(3f8b3):Core Attack Chain -> 35(a7ccd):Core Attack Chain -> 36(602d0):Core Attack Chain -> 37(a6b60):Core Attack Chain -> 38(ad463):Core Attack Chain -> 39(3af22):Core Attack Chain
