repo_name,slice_id,first_commit_num,first_commit,first_state,first_cf_commit_num,first_cf_commit,first_cf_state,starts_as_cf,timeline_len,cf_occurrence_count,cf_commit_nums,cf_commits,state_path,timeline,has_cf
ECommerceCrawlers,<body>@TaobaoCrawler_TK_crawler.py_slice.py,0,ffe1c,Full Attack Chain,0,ffe1c,Full Attack Chain,1,46,11,0;4;17;18;19;20;21;23;24;33;41,ffe1c;202fc;ed7ad;ed3cf;0162f;56775;23fc1;77e2c;2e1e6;2a021;15d28,Full Attack Chain -> Benign -> Benign -> Benign -> Core Attack Chain -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Benign -> Core Attack Chain -> Core Attack Chain -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Core Attack Chain -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Core Attack Chain -> Benign -> Benign -> Benign -> Benign,0(ffe1c):Full Attack Chain -> 1(0c8b7):Benign -> 2(1e6ba):Benign -> 3(b0eff):Benign -> 4(202fc):Core Attack Chain -> 5(ba474):Benign -> 6(f0bfa):Benign -> 7(86c7d):Benign -> 8(6f22e):Benign -> 9(e5584):Benign -> 10(931b6):Benign -> 11(d0377):Benign -> 12(21eee):Benign -> 13(4a5fc):Benign -> 14(dc130):Benign -> 15(83aa9):Benign -> 16(81090):Benign -> 17(ed7ad):Core Attack Chain -> 18(ed3cf):Core Attack Chain -> 19(0162f):Core Attack Chain -> 20(56775):Core Attack Chain -> 21(23fc1):Core Attack Chain -> 22(d668c):Benign -> 23(77e2c):Core Attack Chain -> 24(2e1e6):Core Attack Chain -> 25(913ba):Benign -> 26(f3ba3):Benign -> 27(ad7a7):Benign -> 28(d5386):Benign -> 29(ae571):Benign -> 30(7f16e):Benign -> 31(92f8f):Benign -> 32(999e1):Benign -> 33(2a021):Core Attack Chain -> 34(76dbd):Benign -> 35(254aa):Benign -> 36(d7955):Benign -> 37(50a78):Benign -> 38(39db9):Benign -> 39(9271e):Benign -> 40(2691a):Benign -> 41(15d28):Core Attack Chain -> 42(f42e4):Benign -> 43(fb207):Benign -> 44(a3838):Benign -> 45(88038):Benign,1
Python,<module>@ModifyFilename.py_slice.py,0,ddea0,Full Attack Chain,0,ddea0,Full Attack Chain,1,9,9,0;1;2;3;4;5;6;7;8,ddea0;795a8;0ab70;04eca;18419;bdb12;738e6;5d416;3e43e,Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain,0(ddea0):Full Attack Chain -> 1(795a8):Full Attack Chain -> 2(0ab70):Full Attack Chain -> 3(04eca):Full Attack Chain -> 4(18419):Full Attack Chain -> 5(bdb12):Full Attack Chain -> 6(738e6):Full Attack Chain -> 7(5d416):Full Attack Chain -> 8(3e43e):Full Attack Chain,1
Python3-Spider,<module>@GitHub_login.py_slice.py,5,1fba9,Undetermined,6,e3640,Core Attack Chain,0,25,24,6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29,e3640;3e3b4;4b4f9;b72cc;89916;3c45f;70a6e;de8aa;f38e4;aa143;36cec;535e7;6d250;a283c;74783;f3a7e;2a926;41cd9;03db4;1717b;68a83;0fd6c;3ff0a;fbd33,Undetermined -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,5(1fba9):Undetermined -> 6(e3640):Core Attack Chain -> 7(3e3b4):Core Attack Chain -> 8(4b4f9):Core Attack Chain -> 9(b72cc):Core Attack Chain -> 10(89916):Core Attack Chain -> 11(3c45f):Core Attack Chain -> 12(70a6e):Core Attack Chain -> 13(de8aa):Core Attack Chain -> 14(f38e4):Core Attack Chain -> 15(aa143):Core Attack Chain -> 16(36cec):Core Attack Chain -> 17(535e7):Core Attack Chain -> 18(6d250):Core Attack Chain -> 19(a283c):Core Attack Chain -> 20(74783):Core Attack Chain -> 21(f3a7e):Core Attack Chain -> 22(2a926):Core Attack Chain -> 23(41cd9):Core Attack Chain -> 24(03db4):Core Attack Chain -> 25(1717b):Core Attack Chain -> 26(68a83):Core Attack Chain -> 27(0fd6c):Core Attack Chain -> 28(3ff0a):Core Attack Chain -> 29(fbd33):Core Attack Chain,1
Python3-Spider,<module>@MeiTuan_get_login_cookies.py_slice.py,24,03db4,Core Attack Chain,24,03db4,Core Attack Chain,1,6,6,24;25;26;27;28;29,03db4;1717b;68a83;0fd6c;3ff0a;fbd33,Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,24(03db4):Core Attack Chain -> 25(1717b):Core Attack Chain -> 26(68a83):Core Attack Chain -> 27(0fd6c):Core Attack Chain -> 28(3ff0a):Core Attack Chain -> 29(fbd33):Core Attack Chain,1
badsecrets,<body>@badsecrets.py_slice.py,14,02307,Benign,15,70643,Core Attack Chain,0,4,1,15,70643,Benign -> Core Attack Chain -> Benign -> Benign,14(02307):Benign -> 15(70643):Core Attack Chain -> 16(a0abe):Benign -> 17(ef66b):Benign,1
badsecrets,<body>@badsecrets_modules_peoplesoft_pstoken.py_slice.py,18,73835,Benign,23,8ffb0,Core Attack Chain,0,71,1,23,8ffb0,Benign -> Benign -> Benign -> Benign -> Benign -> Core Attack Chain -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign,18(73835):Benign -> 19(ca78d):Benign -> 20(47741):Benign -> 21(ba102):Benign -> 22(c2636):Benign -> 23(8ffb0):Core Attack Chain -> 24(fe470):Benign -> 25(9f1e4):Benign -> 26(51afc):Benign -> 27(94ac1):Benign -> 28(43a9f):Benign -> 29(2bc2a):Benign -> 30(30f59):Benign -> 31(8957d):Benign -> 32(2006c):Benign -> 33(e30b2):Benign -> 34(d3cb4):Benign -> 35(1b178):Benign -> 36(677b1):Benign -> 37(4b693):Benign -> 38(4cae8):Benign -> 39(e4a30):Benign -> 40(04d29):Benign -> 41(d3c43):Benign -> 42(99673):Benign -> 43(73de7):Benign -> 44(9de39):Benign -> 45(2b305):Benign -> 46(7ec6d):Benign -> 47(3d5cb):Benign -> 48(884f4):Benign -> 49(854b4):Benign -> 50(d42ef):Benign -> 51(1aeae):Benign -> 52(a2b15):Benign -> 53(00f9c):Benign -> 54(0ded3):Benign -> 55(43811):Benign -> 56(7c225):Benign -> 57(657b7):Benign -> 58(45483):Benign -> 59(14cf4):Benign -> 60(ec153):Benign -> 61(6368b):Benign -> 62(14fda):Benign -> 63(1792f):Benign -> 64(cbf6c):Benign -> 65(9ed96):Benign -> 66(9f23c):Benign -> 67(ad59a):Benign -> 68(0774c):Benign -> 69(aecba):Benign -> 70(aa5b4):Benign -> 71(28639):Benign -> 72(63ca7):Benign -> 73(13b07):Benign -> 74(3394c):Benign -> 75(7dea4):Benign -> 76(76c95):Benign -> 77(d9e25):Benign -> 78(8d722):Benign -> 79(5f195):Benign -> 80(32ee6):Benign -> 81(0886d):Benign -> 82(8c89e):Benign -> 83(206cf):Benign -> 84(2de15):Benign -> 85(372d8):Benign -> 86(1b757):Benign -> 87(e525c):Benign -> 88(65e06):Benign,1
badsecrets,<body>@dirtysecrets.py_slice.py,0,18f67,Benign,2,a8b53,Core Attack Chain,0,5,2,2;3,a8b53;a3a91,Benign -> Undetermined -> Core Attack Chain -> Core Attack Chain -> Undetermined,0(18f67):Benign -> 1(6bc4a):Undetermined -> 2(a8b53):Core Attack Chain -> 3(a3a91):Core Attack Chain -> 4(c42ea):Undetermined,1
badsecrets,<body>@popsecrets.py_slice.py,5,f161a,Benign,12,209e9,Core Attack Chain,0,9,2,12;13,209e9;07804,Benign -> Benign -> Undetermined -> Benign -> Benign -> Benign -> Benign -> Core Attack Chain -> Core Attack Chain,5(f161a):Benign -> 6(eba2f):Benign -> 7(b84cd):Undetermined -> 8(ba2c8):Benign -> 9(68795):Benign -> 10(f8806):Benign -> 11(40017):Benign -> 12(209e9):Core Attack Chain -> 13(07804):Core Attack Chain,1
badsecrets,<module>@examples_telerik_knownkey.py_slice.py,62,14fda,Full Attack Chain,62,14fda,Full Attack Chain,1,27,15,62;63;64;65;66;67;69;80;82;83;84;85;86;87;88,14fda;1792f;cbf6c;9ed96;9f23c;ad59a;aecba;32ee6;8c89e;206cf;2de15;372d8;1b757;e525c;65e06,Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Benign -> Full Attack Chain -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Full Attack Chain -> Benign -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain,62(14fda):Full Attack Chain -> 63(1792f):Full Attack Chain -> 64(cbf6c):Full Attack Chain -> 65(9ed96):Core Attack Chain -> 66(9f23c):Core Attack Chain -> 67(ad59a):Core Attack Chain -> 68(0774c):Benign -> 69(aecba):Full Attack Chain -> 70(aa5b4):Benign -> 71(28639):Benign -> 72(63ca7):Benign -> 73(13b07):Benign -> 74(3394c):Benign -> 75(7dea4):Benign -> 76(76c95):Benign -> 77(d9e25):Benign -> 78(8d722):Benign -> 79(5f195):Benign -> 80(32ee6):Full Attack Chain -> 81(0886d):Benign -> 82(8c89e):Full Attack Chain -> 83(206cf):Full Attack Chain -> 84(2de15):Full Attack Chain -> 85(372d8):Full Attack Chain -> 86(1b757):Full Attack Chain -> 87(e525c):Full Attack Chain -> 88(65e06):Full Attack Chain,1
badsecrets,<module>@tests_aspnet_viewstate_test.py_slice.py,0,18f67,Benign,4,c42ea,Core Attack Chain,0,18,1,4,c42ea,Benign -> Benign -> Benign -> Benign -> Core Attack Chain -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign,0(18f67):Benign -> 1(6bc4a):Benign -> 2(a8b53):Benign -> 3(a3a91):Benign -> 4(c42ea):Core Attack Chain -> 5(f161a):Benign -> 6(eba2f):Benign -> 7(b84cd):Benign -> 8(ba2c8):Benign -> 9(68795):Benign -> 10(f8806):Benign -> 11(40017):Benign -> 12(209e9):Benign -> 13(07804):Benign -> 14(02307):Benign -> 15(70643):Benign -> 16(a0abe):Benign -> 17(ef66b):Benign,1
