repo_name,commit_num,commit,code_slice,ground_truth,prediction,Malware Type
1stMalware,0,ba466,NEW@<module>@modules_crypt_crypt.py_slice.py,Undetermined,Undetermined
1stMalware,1,177b1,<module>@modules_crypt_crypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
1stMalware,1,177b1,NEW@<module>@test.py_slice.py,Undetermined,Undetermined
1stMalware,2,f5809,<module>@test.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
1stMalware,2,f5809,NEW@<file>@modules_crypt_crypt.py_slice.py,Undetermined,Undetermined
1stMalware,3,c45da,NEW@<body>@modules_crypt_crypt.py_slice.py,Core Attack Chain,Core Attack Chain
1stMalware,4,426f7,NEW@<body>@modules_crypt_crypt.py_slice.py,Core Attack Chain,Core Attack Chain
1stMalware,5,21b58,NEW@<body>@modules_rights_getRights.py_slice.py,Undetermined,Undetermined
1stMalware,5,21b58,NEW@<module>@main.py_slice.py,Core Attack Chain,Core Attack Chain
1stMalware,5,21b58,NEW@<module>@modules_network_smtp.py_slice.py,Full Attack Chain,Full Attack Chain
1stMalware,6,3a8ed,<body>@modules_rights_getRights.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
1stMalware,6,3a8ed,NEW@<module>@main.py_slice.py,Core Attack Chain,Core Attack Chain
1stMalware,6,3a8ed,NEW@<module>@modules_network_stmpgmail.py_slice.py,Full Attack Chain,Full Attack Chain
1stMalware,7,03ca7,<body>@modules_rights_getRights.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
1stMalware,7,03ca7,NEW@<module>@main.py_slice.py,Core Attack Chain,Core Attack Chain
1stMalware,8,47f7a,NEW@<body>@modules_crypt_crypt.py_slice.py,Core Attack Chain,Core Attack Chain
1stMalware,9,3a1e0,NEW@<body>@modules_crypt_crypt.py_slice.py,Core Attack Chain,Core Attack Chain
Chrome_pass_stealer,0,0c8fb,NEW@<module>@chromepass.py_slice.py,Core Attack Chain,Core Attack Chain,Type A
Chrome_pass_stealer,1,0eeba,NEW@<module>@chromepass.py_slice.py,Core Attack Chain,Core Attack Chain,Type A
Chrome_pass_stealer,2,5c618,<module>@chromepass.py_slice.py,SAME AS BEFORE,SAME AS BEFORE,
Chrome_pass_stealer,3,915e2,NEW@<module>@chromepass.py_slice.py,Core Attack Chain,Core Attack Chain,Type A
Chrome_pass_stealer,4,d766e,NEW@<module>@chromepass.py_slice.py,Full Attack Chain,Full Attack Chain,Type A
Chrome_pass_stealer,5,444fc,<module>@chromepass.py_slice.py,SAME AS BEFORE,SAME AS BEFORE,
Chrome_pass_stealer,6,c060d,NEW@<module>@chromepass.py_slice.py,Full Attack Chain,Full Attack Chain,Type A
Chrome_pass_stealer,7,73291,NEW@<module>@chromepass.py_slice.py,Full Attack Chain,Full Attack Chain,Type A
Chrome_pass_stealer,8,4ac98,NEW@<module>@chromepass.py_slice.py,Full Attack Chain,Full Attack Chain,Type A
Chrome_pass_stealer,9,56cdf,<module>@chromepass.py_slice.py,SAME AS BEFORE,SAME AS BEFORE,
Chrome_pass_stealer,10,fc1f7,NEW@<module>@chromepass.py_slice.py,Full Attack Chain,Full Attack Chain,Type A
Chrome_pass_stealer,11,5d3bc,NEW@<module>@chromepass.py_slice.py,Full Attack Chain,Full Attack Chain,Type A
Infinite-Folder-Virus,0,ba7bd,NEW@<module>@attacker.py_slice.py,Full Attack Chain,Full Attack Chain,Type K
Infinite-Folder-Virus,1,a5995,NEW@<module>@EnvCreator.py_slice.py,Undetermined,Undetermined,None
Infinite-Folder-Virus,1,a5995,NEW@<module>@attacker.py_slice.py,Full Attack Chain,Full Attack Chain,Type K
Infinite-Folder-Virus,1,a5995,NEW@<module>@base.py_slice.py,Full Attack Chain,Full Attack Chain,Type K
Infinite-Folder-Virus,2,9f429,<module>@attacker.py_slice.py,SAME AS BEFORE,SAME AS BEFORE,
Infinite-Folder-Virus,2,9f429,NEW@<module>@base.py_slice.py,Full Attack Chain,Full Attack Chain,Type K
Infinite-Folder-Virus,2,9f429,NEW@<module>@ctypesTest.py_slice.py,Benign,Benign,None
Infinite-Folder-Virus,3,4e4db,<module>@attacker.py_slice.py,SAME AS BEFORE,SAME AS BEFORE,
Infinite-Folder-Virus,3,4e4db,NEW@<module>@Fbscraper.py_slice.py,Benign,Benign,None
Infinite-Folder-Virus,3,4e4db,NEW@<module>@base.py_slice.py,Full Attack Chain,Full Attack Chain,Type K
MirageLink-rat-gui,0,47da4,NEW@<module>@config.py_slice.py,Benign,Benign,None
MirageLink-rat-gui,0,47da4,NEW@<module>@server_gui.py_slice.py,Full Attack Chain,Full Attack Chain,Type B (Server/Bind)
MirageLink-rat-gui,1,16f9f,<module>@config.py_slice.py,SAME AS BEFORE,SAME AS BEFORE,
MirageLink-rat-gui,1,16f9f,NEW@<module>@server_gui.py_slice.py,Full Attack Chain,Full Attack Chain,Type B (Server/Bind)
MirageLink-rat-gui,2,7a380,NEW@<module>@config.py_slice.py,Benign,Benign,None
MirageLink-rat-gui,2,7a380,NEW@<module>@server_gui.py_slice.py,Full Attack Chain,Full Attack Chain,Type B (Server/Bind)
MirageLink-rat-gui,3,ba9e2,<module>@config.py_slice.py,SAME AS BEFORE,SAME AS BEFORE,
