repo_name,commit_num,commit,code_slice,classification,result_two_steps,reasoning,commit_actual_malicious,commit_pred_malicious
KMike,3,c5401,NEW@<module>@ransomware_basic_functionality___main__.py_slice.py,Core Attack Chain,Full Attack Chain,no ransom note,False,True
KMike,3,c5401,NEW@<module>@ransomware_basic_functionality_decrypt_files.py_slice.py,Benign,Benign,,False,True
KMike,3,c5401,NEW@<module>@ransomware_basic_functionality_utils.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,3,c5401,NEW@<module>@ransomware_basic_functionality_encrypt_files.py_slice.py,Core Attack Chain,Full Attack Chain,no ransom note,False,True
KMike,4,4e187,NEW@<module>@ransomware_basic_functionality___main__.py_slice.py,Core Attack Chain,Full Attack Chain,no ransom note,False,True
KMike,4,4e187,NEW@<module>@ransomware_basic_functionality_decrypt_files.py_slice.py,Benign,Benign,,False,True
KMike,4,4e187,NEW@<module>@ransomware_basic_functionality_utils.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,4,4e187,NEW@<module>@ransomware_basic_functionality_encrypt_files.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,5,d08a2,NEW@<module>@ransomware_basic_functionality___main__.py_slice.py,Core Attack Chain,Full Attack Chain,no ransom note,False,True
KMike,5,d08a2,NEW@<module>@ransomware_basic_functionality_decrypt_files.py_slice.py,Benign,Benign,,False,True
KMike,5,d08a2,NEW@<module>@ransomware_basic_functionality_utils.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,5,d08a2,NEW@<module>@ransomware_basic_functionality_encrypt_files.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,6,e3a63,NEW@<module>@ransomware_basic_functionality___main__.py_slice.py,Core Attack Chain,Full Attack Chain,no ransom note,False,True
KMike,6,e3a63,NEW@<module>@c_and_c_server_server.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,6,e3a63,NEW@<body>@c_and_c_server_server.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,6,e3a63,NEW@<module>@c_and_c_server_RSA.py_slice.py,Undetermined,Undetermined,,False,True
KMike,6,e3a63,NEW@<module>@helper_scripts_master_key_pair_gen.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,6,e3a63,NEW@<module>@ransomware_basic_functionality_decrypt_files.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,6,e3a63,NEW@<module>@ransomware_basic_functionality_utils.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,6,e3a63,NEW@<body>@c_and_c_server_RSA.py_slice.py,Undetermined,Undetermined,,False,True
KMike,6,e3a63,NEW@<module>@ransomware_basic_functionality_encrypt_files.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,6,e3a63,NEW@hello_world@c_and_c_server_server.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,7,8fb52,<module>@ransomware_basic_functionality_encrypt_files.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,7,8fb52,<module>@ransomware_basic_functionality_utils.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,7,8fb52,NEW@<module>@ransomware_basic_functionality___main__.py_slice.py,Core Attack Chain,Full Attack Chain,no ransom note,False,True
KMike,7,8fb52,NEW@<module>@c_and_c_server_server.py_slice.py,Undetermined,Full Attack Chain,no malice,False,True
KMike,7,8fb52,NEW@<module>@ransomware_basic_functionality_decrypt_files.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,7,8fb52,<module>@helper_scripts_master_key_pair_gen.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,7,8fb52,NEW@hello_world@c_and_c_server_server.py_slice.py,Undetermined,Undetermined,,False,True
KMike,8,15cec,<module>@ransomware_basic_functionality_encrypt_files.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,8,15cec,<module>@ransomware_basic_functionality_utils.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,8,15cec,NEW@<module>@ransomware_basic_functionality___main__.py_slice.py,Core Attack Chain,Full Attack Chain,no ransom note,False,True
KMike,8,15cec,hello_world@c_and_c_server_server.py_slice.py,Undetermined,Undetermined,,False,True
KMike,8,15cec,NEW@<module>@ransomware_basic_functionality_decrypt_files.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,8,15cec,<module>@helper_scripts_master_key_pair_gen.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,8,15cec,<module>@c_and_c_server_server.py_slice.py,Undetermined,Full Attack Chain,,False,True
KMike,9,dd6c0,NEW@<module>@ransomware_basic_functionality___main__.py_slice.py,Core Attack Chain,Full Attack Chain,no ransom note,False,True
KMike,9,dd6c0,NEW@<module>@c_and_c_server_server.py_slice.py,Core Attack Chain,Full Attack Chain,server error,False,True
KMike,9,dd6c0,NEW@<module>@ransomware_basic_functionality_comms.py_slice.py,Undetermined,Undetermined,,False,True
KMike,9,dd6c0,NEW@<module>@ransomware_basic_functionality_decrypt_files.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,9,dd6c0,<module>@helper_scripts_master_key_pair_gen.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,9,dd6c0,NEW@<module>@ransomware_basic_functionality_utils.py_slice.py,Benign,Benign,,False,True
KMike,9,dd6c0,NEW@<module>@ransomware_basic_functionality_encrypt_files.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,9,dd6c0,NEW@hello_world@c_and_c_server_server.py_slice.py,Core Attack Chain,Full Attack Chain,server error,False,True
KMike,10,f9b65,NEW@<module>@ransomware_basic_functionality___main__.py_slice.py,Core Attack Chain,Full Attack Chain,server error,False,True
KMike,10,f9b65,NEW@<module>@c_and_c_server_server.py_slice.py,Undetermined,Undetermined,,False,True
KMike,10,f9b65,NEW@<module>@c_and_c_server_asymmetric_encryption.py_slice.py,Undetermined,Undetermined,,False,True
KMike,10,f9b65,NEW@process@c_and_c_server_server.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,10,f9b65,NEW@<module>@ransomware_basic_functionality_comms.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,10,f9b65,NEW@<module>@ransomware_basic_functionality_decrypt_files.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,10,f9b65,<module>@helper_scripts_master_key_pair_gen.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,10,f9b65,NEW@<module>@ransomware_basic_functionality_utils.py_slice.py,Benign,Benign,,False,True
KMike,10,f9b65,NEW@<module>@ransomware_basic_functionality_encrypt_files.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,11,53197,NEW@<module>@ransomware_basic_functionality___main__.py_slice.py,Core Attack Chain,Full Attack Chain,server error,False,True
KMike,11,53197,NEW@<module>@c_and_c_server_server.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,11,53197,NEW@process@c_and_c_server_server.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,11,53197,NEW@<module>@ransomware_basic_functionality_decrypt_files.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,11,53197,<module>@helper_scripts_master_key_pair_gen.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,11,53197,NEW@<module>@ransomware_basic_functionality_utils.py_slice.py,Benign,Benign,,False,True
KMike,11,53197,<module>@c_and_c_server_asymmetric_encryption.py_slice.py,Undetermined,Undetermined,,False,True
KMike,11,53197,<module>@ransomware_basic_functionality_comms.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,11,53197,NEW@<module>@ransomware_basic_functionality_encrypt_files.py_slice.py,Core Attack Chain,Full Attack Chain,server error,False,True
KMike,12,647fe,NEW@<module>@ransomware_core_decrypt_files.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,12,647fe,process@c_and_c_server_server.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,12,647fe,NEW@<module>@ransomware_core___main__.py_slice.py,Core Attack Chain,Full Attack Chain,server error,False,True
