repo_name,is_malicious,prediction
1stMalware,1,1
Basic-Keylogger,1,1
BskyBot,1,1
Chrome_pass_stealer,1,1
HackerDoomsday,1,1
Hallucinate,1,1
Infinite-Folder-Virus,1,1
KMike,1,1
KeySpy,1,1
MakeMalware_EthicalHacking,1,1
Malicious-Debian-Package-Maker,1,1
Malware,1,1
MirageLink-rat-gui,1,1
NetWorm,1,1
PY-RAT,1,1
PizzaVirus,1,1
Python-RAT,1,1
Python-Rootkit,1,1
Python-Trojan,1,1
Python-malware-example,1,1
Python-ransomware,1,1
PythonMalware_1/PythonMalware,1,1
PythonReverseShellBasic,1,1
PythonVirusExamples,1,1
ScaryMalware,1,1
Spyware,1,1
TheWeirdVirus,1,1
Virus-Python,1,1
WannaHappy,1,1
Wormy,1,1
backdoor,1,1
backdoor2,1,1
beep,1,1
dojo6oct16,1,1
funny-virus,1,1,e
iobdug_malware_py,1,1,e
keylogger,1,1
keylogger1,1,1
keylogger2,1,0
keylogger3,1,1
keylogger4,1,0
keylogger5,1,1
megaloptera,1,1,e
parvox,1,1
python-malware,1,1
python-malware3/python-malware,1,1
ransomware,1,1,e
ransomware1,1,0
ransomware2,1,1
ransomware3,1,1
ransomware4,1,1
ransomware5,1,1
ransomware6,1,1
ransomware7,1,1
ransomware_malware,1,1
reverseShell2,1,1
reverseShell3,1,1
reverseShell4,1,1
reverseShell5,1,1
shameleon,1,1
simple-virus-python,1,1
simpleMalware1,1,1
telegram_stealer,1,0
virus,1,0
virus-chan,1,1
virus-replicator,1,1
virus.py,1,1
virus1,1,1
virus2,1,1
winrar-SFX-0day-exploiter,1,1
worm1,1,1
worm2,1,1
