repo_name,commit_num,commit,prev_true_snapshot_label,true_snapshot_label,prev_pred_snapshot_label,pred_snapshot_label,true_snapshot_transition,pred_snapshot_transition,true_snapshot_malicious,pred_snapshot_malicious,new_slice_count,new_true_malicious_count,new_pred_malicious_count,candidate_true_same_malicious,candidate_pred_same_malicious,new_slice_details
1stMalware,2,177b1,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,0,0,1,1,NEW@<module>@test.py_slice.py|T:Benign|P:Benign
1stMalware,3,f5809,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,2,2,2,1,1,NEW@<body>@modules_crypt_crypt.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<body>@modules_rights_getRights.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
1stMalware,4,c45da,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,1,1,1,1,NEW@<body>@modules_crypt_crypt.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
1stMalware,5,426f7,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,0,0,0,1,1,
1stMalware,7,3a8ed,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain->Full Attack Chain,Full Attack Chain->Full Attack Chain,1,1,3,3,3,1,1,NEW@<body>@modules_crypt_crypt.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<module>@main.py_slice.py|T:Full Attack Chain|P:Full Attack Chain || NEW@<module>@modules_network_stmpgmail.py_slice.py|T:Full Attack Chain|P:Full Attack Chain
1stMalware,9,47f7a,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,3,3,3,1,1,NEW@<body>@modules_crypt_crypt.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<body>@modules_rights_getRights.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<module>@main.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
1stMalware,10,3a1e0,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,3,3,3,1,1,NEW@<body>@modules_crypt_crypt.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<body>@modules_rights_getRights.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<module>@main.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
Backdoorcreator,1,22da0,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain->Full Attack Chain,Full Attack Chain->Full Attack Chain,1,1,2,1,1,1,1,NEW@<module>@backdoorcreate.py_slice.py|T:Full Attack Chain|P:Full Attack Chain || NEW@<module>@server.py_slice.py|T:Undetermined|P:Undetermined
Backdoorcreator,2,677e6,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain->Full Attack Chain,Full Attack Chain->Full Attack Chain,1,1,1,1,1,1,1,NEW@<module>@backdoorcreate.py_slice.py|T:Full Attack Chain|P:Full Attack Chain
Backdoorcreator,3,697db,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain->Full Attack Chain,Full Attack Chain->Full Attack Chain,1,1,2,1,1,1,1,NEW@<module>@backdoorcreate.py_slice.py|T:Full Attack Chain|P:Full Attack Chain || NEW@<module>@server.py_slice.py|T:Undetermined|P:Undetermined
Backdoorcreator,4,ad97a,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain->Full Attack Chain,Full Attack Chain->Full Attack Chain,1,1,2,1,1,1,1,NEW@<module>@backdoorcreate.py_slice.py|T:Full Attack Chain|P:Full Attack Chain || NEW@<module>@server.py_slice.py|T:Undetermined|P:Undetermined
Backdoorcreator,5,c92d2,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain->Full Attack Chain,Full Attack Chain->Full Attack Chain,1,1,2,1,1,1,1,NEW@<module>@backdoorcreate.py_slice.py|T:Full Attack Chain|P:Full Attack Chain || NEW@<module>@server.py_slice.py|T:Undetermined|P:Undetermined
Backdoorcreator,6,1ce4c,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain->Full Attack Chain,Full Attack Chain->Full Attack Chain,1,1,1,1,1,1,1,NEW@<module>@backdoorcreate.py_slice.py|T:Full Attack Chain|P:Full Attack Chain
Backdoorcreator,7,417b1,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain->Full Attack Chain,Full Attack Chain->Full Attack Chain,1,1,1,1,1,1,1,NEW@<module>@backdoorcreate.py_slice.py|T:Full Attack Chain|P:Full Attack Chain
Basic-Keylogger,1,808fa,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,1,1,1,1,NEW@<module>@keylogger.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
Basic-Keylogger,2,b573a,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,1,1,1,1,NEW@<module>@keylogger.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
Basic-Keylogger,3,00252,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,1,1,1,1,NEW@<module>@keylogger.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
BskyBot,5,b7819,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain->Full Attack Chain,Full Attack Chain->Full Attack Chain,1,1,3,2,2,1,1,NEW@<body>@bot_bot.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<body>@core_dummy_image_path_generator.py_slice.py|T:Benign|P:Benign || NEW@<module>@bot_bot.py_slice.py|T:Full Attack Chain|P:Full Attack Chain
BskyBot,6,57dd6,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain->Full Attack Chain,Full Attack Chain->Full Attack Chain,1,1,3,2,2,1,1,NEW@<body>@bot.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<body>@core_dummy_image_path_generator.py_slice.py|T:Benign|P:Benign || NEW@<module>@bot.py_slice.py|T:Full Attack Chain|P:Full Attack Chain
BskyBot,7,7e97f,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain->Full Attack Chain,Full Attack Chain->Full Attack Chain,1,1,2,2,2,1,1,NEW@<body>@controller.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<module>@controller.py_slice.py|T:Full Attack Chain|P:Full Attack Chain
BskyBot,8,e0939,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain->Full Attack Chain,Full Attack Chain->Full Attack Chain,1,1,4,4,4,1,1,NEW@<body>@bot.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<body>@controller.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<module>@bot.py_slice.py|T:Full Attack Chain|P:Full Attack Chain || NEW@<module>@controller.py_slice.py|T:Full Attack Chain|P:Full Attack Chain
BskyBot,9,d789a,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain->Full Attack Chain,Full Attack Chain->Full Attack Chain,1,1,4,3,3,1,1,NEW@<body>@controller.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<body>@core_bsky_client.py_slice.py|T:Benign|P:Benign || NEW@<module>@bot.py_slice.py|T:Full Attack Chain|P:Full Attack Chain || NEW@<module>@controller.py_slice.py|T:Full Attack Chain|P:Full Attack Chain
BskyBot,10,baced,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain->Full Attack Chain,Full Attack Chain->Full Attack Chain,1,1,6,4,4,1,1,NEW@<body>@bot.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<body>@controller.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<body>@core_bsky_client.py_slice.py|T:Benign|P:Benign || NEW@<body>@core_dummy_image_path_generator.py_slice.py|T:Benign|P:Benign || NEW@<module>@bot.py_slice.py|T:Full Attack Chain|P:Full Attack Chain || NEW@<module>@controller.py_slice.py|T:Full Attack Chain|P:Core Attack Chain
BskyBot,11,fbe51,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain->Full Attack Chain,Full Attack Chain->Full Attack Chain,1,1,2,2,2,1,1,NEW@<body>@controller.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<module>@controller.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
BskyBot,12,b40cc,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain->Full Attack Chain,Full Attack Chain->Full Attack Chain,1,1,6,4,4,1,1,NEW@<body>@bot.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<body>@controller.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<body>@core_bsky_client.py_slice.py|T:Benign|P:Benign || NEW@<body>@core_dummy_image_path_generator.py_slice.py|T:Benign|P:Benign || NEW@<module>@bot.py_slice.py|T:Full Attack Chain|P:Full Attack Chain || NEW@<module>@controller.py_slice.py|T:Full Attack Chain|P:Core Attack Chain
Cerberus,1,44601,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain->Full Attack Chain,Full Attack Chain->Full Attack Chain,1,1,0,0,0,1,1,
Cerberus,2,cb198,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain->Full Attack Chain,Full Attack Chain->Full Attack Chain,1,1,0,0,0,1,1,
