repo_name,commit_num,commit,code_slice,true_label,pred_label,error_type,reasoning
Infinite-Folder-Virus,11,983cf,NEW@<module>@base.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Infinite-Folder-Virus,12,a5995,NEW@<module>@base.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Infinite-Folder-Virus,13,903ad,NEW@<module>@base.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Infinite-Folder-Virus,15,f9ce1,NEW@<module>@base.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Infinite-Folder-Virus,16,1c08f,NEW@<module>@base.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Infinite-Folder-Virus,17,9f429,NEW@<module>@base.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Infinite-Folder-Virus,18,926e2,NEW@<module>@base.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
MirageLink-rat-gui,29,278a3,NEW@<body>@frames_function.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,14,ca2be,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,15,1f06f,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,16,d4d71,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,17,1878b,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,18,af297,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,20,84747,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,21,2e587,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,22,8cc51,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,23,c7f9f,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,24,e88fa,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,25,3de6c,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,26,bad07,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,28,dbdf0,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,29,0c466,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,30,cae75,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,32,a8447,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,33,d257a,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,34,ebc01,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,35,9ebad,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,38,6ec89,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,39,b5094,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,40,cfc93,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,41,9f8d6,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,42,3dc3b,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python_KeyLogger_Prototype,6,5289f,NEW@<module>@test.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
TheWeirdVirus,0,b118c,NEW@<module>@VirusLoop.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
TheWeirdVirus,1,da27e,NEW@<module>@VirusLoop.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
TheWeirdVirus,2,71a89,NEW@<module>@VirusLoop.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
TheWeirdVirus,3,eae2b,NEW@<module>@VirusLoop.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
TheWeirdVirus,4,f71c7,NEW@<module>@VirusLoop.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
TheWeirdVirus,5,e57d7,NEW@<module>@VirusLoop.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
TheWeirdVirus,6,60016,NEW@<module>@VirusLoop.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Virus-Python,2,47c8f,NEW@<module>@gimme_money.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Virus-Python,3,d52ac,NEW@<module>@gimme_money.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
ransomware2,5,c91af,NEW@<module>@encrypt.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
