repo_name,commit_num,commit,code_slice,true_label,pred_label,error_type,reasoning
BskyBot,4,bae5f,NEW@<module>@bot_bot.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
BskyBot,5,b7819,NEW@<module>@bot_bot.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
BskyBot,6,57dd6,NEW@<module>@bot.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
BskyBot,8,e0939,NEW@<module>@bot.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
BskyBot,9,d789a,NEW@<module>@bot.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
BskyBot,10,baced,NEW@<module>@bot.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
BskyBot,10,baced,NEW@<module>@controller.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
BskyBot,11,fbe51,NEW@<module>@controller.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
BskyBot,12,b40cc,NEW@<module>@bot.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
BskyBot,12,b40cc,NEW@<module>@controller.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Doomed,2,d1557,NEW@<module>@doomed.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Doomed,4,01c74,NEW@<module>@DOOM.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Doomed,5,2b87d,NEW@<module>@DOOM.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Doomed,6,a580d,NEW@<module>@DOOM.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Doomed,7,920bf,NEW@<module>@DOOM.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Doomed,8,06b31,NEW@<module>@DOOM.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
HackerDoomsday,4,4dce8,NEW@<module>@regedit_and_virus_safe.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
HackerDoomsday,9,587b0,NEW@<module>@regedit_and_virus_safe.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
HackerDoomsday,12,22e8b,NEW@<module>@regedit_and_virus_safe.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
HackerDoomsday,14,79e7c,NEW@<module>@regedit_and_virus_safe.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
HackerDoomsday,15,2b860,NEW@<module>@regedit_and_virus_safe.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
HackerDoomsday,16,de183,NEW@<module>@regedit_and_virus_safe.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
HackerDoomsday,17,2bf39,NEW@<module>@gui.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
HackerDoomsday,17,2bf39,NEW@<module>@regedit_and_virus_safe.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
HackerDoomsday,20,9b8ec,NEW@<module>@regedit_and_virus_safe.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
HackerDoomsday,21,88b3c,NEW@<module>@regedit_and_virus_safe.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Hallucinate,4,961c9,NEW@<module>@main.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Infinite-Folder-Virus,11,983cf,NEW@<module>@base.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Infinite-Folder-Virus,12,a5995,NEW@<module>@base.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Infinite-Folder-Virus,13,903ad,NEW@<module>@base.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Infinite-Folder-Virus,15,f9ce1,NEW@<module>@base.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Infinite-Folder-Virus,16,1c08f,NEW@<module>@base.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Infinite-Folder-Virus,17,9f429,NEW@<module>@base.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Infinite-Folder-Virus,18,926e2,NEW@<module>@base.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
MakeMalware_EthicalHacking,0,3db3c,NEW@<module>@demo1_executeCommands.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
MakeMalware_EthicalHacking,6,40c64,NEW@<module>@demo6_DownloadExecuteReport.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
MakeMalware_EthicalHacking,6,40c64,NEW@<module>@demo7_DownloadExecuteReportDelete.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Malware_Python,4,c1a2d,NEW@<module>@main.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Malware_Python,5,77298,NEW@<module>@main.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Malware_Python,20,a778f,NEW@<module>@main.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
MirageLink-rat-gui,29,278a3,NEW@<body>@frames_function.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,14,ca2be,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,15,1f06f,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,16,d4d71,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,17,1878b,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,18,af297,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,20,84747,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,21,2e587,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,22,8cc51,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,23,c7f9f,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,24,e88fa,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,25,3de6c,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,26,bad07,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,28,dbdf0,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,29,0c466,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,30,cae75,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,32,a8447,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,33,d257a,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,34,ebc01,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,35,9ebad,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,38,6ec89,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,39,b5094,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,40,cfc93,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,41,9f8d6,NEW@<module>@main.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Python-Trojan,41,9f8d6,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,42,3dc3b,NEW@<module>@main.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Python-Trojan,42,3dc3b,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python_KeyLogger_Prototype,6,5289f,NEW@<module>@test.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
ScaryMalware,1,57d43,NEW@<module>@Malware.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
ScaryMalware,2,702da,NEW@<module>@Malware.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
ScaryMalware,5,c5ff7,NEW@<module>@malware.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
ScaryMalware,8,3b2cc,NEW@<module>@malware.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Spyware,0,2ee4e,NEW@<module>@main.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Spyware,1,84840,NEW@<module>@main.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Spyware,2,7952d,NEW@<module>@main.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Spyware,3,53c4a,NEW@<module>@main.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Spyware,4,289d2,NEW@<module>@main.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Spyware,5,d5db4,NEW@<module>@Malware.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Spyware,6,21e7f,NEW@<module>@Malware.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Spyware,7,47253,NEW@<module>@Malware.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Spyware,9,401eb,NEW@<module>@Malware.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Spyware,10,132bd,NEW@<module>@Malware.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Spyware,11,e9d43,NEW@<module>@Malware.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Spyware,12,c1f3c,NEW@<module>@Malware.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Spyware,14,63413,NEW@<module>@Malware.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Spyware,15,4ff70,NEW@<module>@Malware.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Spyware,16,1d8cd,NEW@<module>@Malware.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Spyware,17,7c2d0,NEW@<module>@Malware.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Spyware,18,34e7a,NEW@<module>@Malware.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Spyware,23,5f55f,NEW@<module>@Malware.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Spyware,25,3b7d3,NEW@<module>@Malware.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Spyware,26,e91fb,NEW@<module>@Malware.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Spyware,27,2498b,NEW@<module>@Malware.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Spyware,29,8e66b,NEW@<module>@Malware.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Spyware,30,318c9,NEW@<module>@Malware.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Spyware,31,e87c6,NEW@<module>@Malware.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Spyware,32,e5c24,NEW@<module>@Malware.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Spyware,33,99ba2,NEW@<module>@Malware.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Spyware,34,5d92e,NEW@<module>@Malware.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Spyware,35,a240a,NEW@<module>@Malware.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Spyware,36,3075f,NEW@<module>@Malware.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Spyware,38,d1598,NEW@<module>@Malware.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Spyware,40,dcccc,NEW@<module>@Malware.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Spyware,41,10f46,NEW@<module>@Malware.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Spyware,42,1e7ec,NEW@<module>@Malware.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Spyware,43,a444e,NEW@<module>@Malware.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Spyware,46,5c8bd,NEW@<module>@Malware.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
TheWeirdVirus,0,b118c,NEW@<module>@VirusLoop.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
TheWeirdVirus,1,da27e,NEW@<module>@VirusLoop.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
TheWeirdVirus,2,71a89,NEW@<module>@VirusLoop.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
TheWeirdVirus,3,eae2b,NEW@<module>@VirusLoop.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
TheWeirdVirus,4,f71c7,NEW@<module>@VirusLoop.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
TheWeirdVirus,5,e57d7,NEW@<module>@VirusLoop.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
TheWeirdVirus,6,60016,NEW@<module>@VirusLoop.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Virus-Python,2,47c8f,NEW@<module>@gimme_money.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Virus-Python,3,d52ac,NEW@<module>@gimme_money.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
backdoor2,6,faa7c,NEW@<module>@reverse_shell.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
parvox,5,ae436,NEW@<module>@main.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
python-malware,6,31a0c,NEW@<module>@main.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
python-malware,7,09b46,NEW@<module>@main.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
python-malware,8,22dee,NEW@<module>@main.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
python-malware2/python-malware,0,b26c0,NEW@<module>@main.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
ransomware2,5,c91af,NEW@<module>@encrypt.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
ransomware2,6,76b79,NEW@<module>@encrypt.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
ransomware5,3,2e4e1,NEW@<module>@cryptware.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
virus-replicator,1,541e5,NEW@<module>@main.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
virus-replicator,6,26c97,NEW@<module>@main.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
