repo_name,commit_num,commit,code_slice,true_label,pred_label,error_type,reasoning
BskyBot,8,e0939,NEW@<body>@bot.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
BskyBot,10,baced,NEW@<body>@bot.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
BskyBot,12,b40cc,NEW@<body>@bot.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
KMike,3,c5401,NEW@<module>@ransomware_basic_functionality___main__.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,no ransom note
KMike,3,c5401,NEW@<module>@ransomware_basic_functionality_encrypt_files.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,no ransom note
KMike,4,4e187,NEW@<module>@ransomware_basic_functionality___main__.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,no ransom note
KMike,5,d08a2,NEW@<module>@ransomware_basic_functionality___main__.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,no ransom note
KMike,6,e3a63,NEW@<module>@ransomware_basic_functionality___main__.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,no ransom note
KMike,7,8fb52,NEW@<module>@ransomware_basic_functionality___main__.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,no ransom note
KMike,8,15cec,NEW@<module>@ransomware_basic_functionality___main__.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,no ransom note
KMike,9,dd6c0,NEW@<module>@c_and_c_server_server.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,9,dd6c0,NEW@<module>@ransomware_basic_functionality___main__.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,no ransom note
KMike,9,dd6c0,NEW@hello_world@c_and_c_server_server.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,10,f9b65,NEW@<module>@ransomware_basic_functionality___main__.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,11,53197,NEW@<module>@ransomware_basic_functionality___main__.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,11,53197,NEW@<module>@ransomware_basic_functionality_encrypt_files.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,12,647fe,NEW@<module>@ransomware_core___main__.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,12,647fe,NEW@<module>@ransomware_core_encrypt_files.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,14,62b21,NEW@<body>@c_and_c_server_asymmetric_encryption.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,14,62b21,NEW@<body>@ransomware_core_crypto_asymmetric_encryption.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,14,62b21,NEW@<module>@c_and_c_server_server.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,14,62b21,NEW@<module>@c_and_c_server_utils.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,15,abafd,NEW@<body>@c_and_c_server_asymmetric_encryption.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,15,abafd,NEW@<body>@ransomware_core_crypto_asymmetric_encryption.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,15,abafd,NEW@initialise@c_and_c_server_server.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,16,33184,NEW@<body>@c_and_c_server_asymmetric_encryption.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,16,33184,NEW@<body>@ransomware_core_crypto_asymmetric_encryption.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,16,33184,NEW@<module>@c_and_c_server_utils.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,16,33184,NEW@<module>@ransomware_core_decrypt_files.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,17,d75a9,NEW@<body>@c_and_c_server_asymmetric_encryption.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,17,d75a9,NEW@<body>@ransomware_core_crypto_asymmetric_encryption.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,17,d75a9,NEW@<module>@c_and_c_server_utils.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,17,d75a9,NEW@initialise@c_and_c_server_server.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,20,c18d4,NEW@<body>@c_and_c_server_asymmetric_encryption.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,20,c18d4,NEW@<body>@ransomware_core_crypto_asymmetric_encryption.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,20,c18d4,NEW@<module>@c_and_c_server_utils.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,20,c18d4,NEW@initialise@c_and_c_server_server.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,21,bf4f9,NEW@<module>@ransomware_core_comms_cnc_generator.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,21,bf4f9,NEW@<module>@ransomware_core_decrypt_files.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,25,7aa7d,NEW@<module>@ransomware_core_comms_cnc_generator.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,25,7aa7d,NEW@<module>@ransomware_core_decrypt_files.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,27,9873a,NEW@<body>@ransomware_core_crypto_asymmetric_encryption.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,27,9873a,NEW@<module>@ransomware_core_comms_cnc_generator.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,27,9873a,NEW@<module>@ransomware_core_decrypt_files.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,27,9873a,NEW@initialise@c_and_c_server_server.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,28,ef755,NEW@<body>@ransomware_core_crypto_asymmetric_encryption.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,28,ef755,NEW@<module>@c_and_c_server_utils.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,28,ef755,NEW@<module>@ransomware_core_comms_cnc_generator.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,28,ef755,NEW@initialise@c_and_c_server_server.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,29,658cc,NEW@<module>@ransomware_core_decrypt_files.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,30,6201f,NEW@<module>@ransomware_core_comms_cnc_generator.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,34,3f8b3,NEW@<body>@c_and_c_server_asymmetric_encryption.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,34,3f8b3,NEW@<body>@ransomware_core_crypto_asymmetric_encryption.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,34,3f8b3,NEW@initialise@c_and_c_server_server.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,36,602d0,NEW@<body>@c_and_c_server_asymmetric_encryption.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,36,602d0,NEW@<body>@ransomware_core_crypto_asymmetric_encryption.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,36,602d0,NEW@<module>@c_and_c_server_utils.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,36,602d0,NEW@<module>@ransomware_core_decrypt_files.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,36,602d0,NEW@initialise@c_and_c_server_server.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,38,ad463,NEW@<body>@c_and_c_server_asymmetric_encryption.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,38,ad463,NEW@<body>@ransomware_core_crypto_asymmetric_encryption.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,38,ad463,NEW@<module>@c_and_c_server_utils.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,38,ad463,NEW@<module>@ransomware_core_decrypt_files.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KMike,38,ad463,NEW@initialise@c_and_c_server_server.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server error
KeySpy,9,f1f6c,NEW@<body>@platform_linux_keylogger.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,no network
KeySpy,9,f1f6c,NEW@<body>@platform_windows_keylogger.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,no network
KeySpy,11,8a2cb,NEW@<body>@platform_linux_keylogger.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,no network
KeySpy,11,8a2cb,NEW@<body>@platform_windows_keylogger.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,no network
KeySpy,13,216b7,NEW@<body>@platform_windows_keylogger.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,no network
KeySpy,14,933b5,NEW@<module>@platform_windows_keylogger.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,no network
KeySpy,15,04fa2,NEW@<body>@platform_linux_keylogger.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,no network
KeySpy,15,04fa2,NEW@<module>@platform_windows_keylogger.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,no network
KeySpy,20,4eacf,NEW@<module>@platform_windows_keylogger.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,no network
KeySpy,21,119a1,NEW@<body>@platform_windows_keylogger.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,no network
KeySpy,23,2e4a4,NEW@<module>@platform_linux_keylogger.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,no network
MakeMalware_EthicalHacking,12,f0f7d,NEW@<body>@Project_Backdoor_backdoor.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,import error
MakeMalware_EthicalHacking,13,e3fe9,NEW@<module>@Project_Backdoor_executeCommandServerInteractiveUpload.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server or client
MakeMalware_EthicalHacking,14,4bc0e,NEW@<module>@Project_Backdoor_executeCommandServer.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server or client
MakeMalware_EthicalHacking,14,4bc0e,NEW@<module>@Project_Backdoor_executeCommandServerInteractiveUpload.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server or client
MakeMalware_EthicalHacking,14,4bc0e,NEW@<module>@Project_Backdoor_executeCommandServerJson.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,server or client
Python-Trojan,23,c7f9f,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,26,bad07,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,29,0c466,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,30,cae75,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,40,cfc93,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,42,3dc3b,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python_KeyLogger_Prototype,4,25ded,NEW@<module>@test.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,no key stroke
TheWeirdVirus,1,da27e,NEW@<module>@VirusLoop.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Virus-Python,2,47c8f,NEW@<module>@gimme_money.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
megaloptera,4,695c1,NEW@<module>@megaloptera.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,data flow missing
