repo_name,commit_num,commit,prev_true_snapshot_label,true_snapshot_label,prev_pred_snapshot_label,pred_snapshot_label,true_snapshot_transition,pred_snapshot_transition,true_snapshot_malicious,pred_snapshot_malicious,new_slice_count,new_true_malicious_count,new_pred_malicious_count,candidate_true_same_malicious,candidate_pred_same_malicious,new_slice_details
backdoor,1,b94ad,,Undetermined,,Undetermined,,,0,0,1,0,0,0,0,NEW@<body>@client.py_slice.py|T:Undetermined|P:Undetermined
backdoor,2,904d3,Undetermined,Full Attack Chain,Undetermined,Full Attack Chain,Undetermined->Full Attack Chain,Undetermined->Full Attack Chain,1,1,1,1,1,0,0,NEW@<body>@client.py_slice.py|T:Full Attack Chain|P:Full Attack Chain
backdoor,3,3ce22,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain->Full Attack Chain,Full Attack Chain->Full Attack Chain,1,1,1,1,1,1,1,NEW@<module>@client.py_slice.py|T:Full Attack Chain|P:Full Attack Chain
backdoor1,0,19f7b,,Undetermined,,Undetermined,,,0,0,1,0,0,0,0,NEW@<module>@victim.py_slice.py|T:Undetermined|P:Undetermined
backdoor2,1,4982e,,Undetermined,,Undetermined,,,0,0,1,0,0,0,0,NEW@<module>@reverse_shell.py_slice.py|T:Undetermined|P:Undetermined
backdoor2,2,003bd,Undetermined,Core Attack Chain,Undetermined,Core Attack Chain,Undetermined->Core Attack Chain,Undetermined->Core Attack Chain,1,1,1,1,1,0,0,NEW@<module>@reverse_shell.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
backdoor2,3,ce157,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,1,1,1,1,NEW@<module>@reverse_shell.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
backdoor2,4,15433,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,1,1,1,1,NEW@<module>@reverse_shell.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
backdoor2,5,8216c,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,1,1,1,1,NEW@<module>@reverse_shell.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
backdoor2,6,faa7c,Core Attack Chain,Full Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Full Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,1,1,0,1,NEW@<module>@reverse_shell.py_slice.py|T:Full Attack Chain|P:Core Attack Chain
backdoor2,7,e1fd3,Full Attack Chain,Full Attack Chain,Core Attack Chain,Full Attack Chain,Full Attack Chain->Full Attack Chain,Core Attack Chain->Full Attack Chain,1,1,1,1,1,1,0,NEW@<module>@reverse_shell.py_slice.py|T:Full Attack Chain|P:Full Attack Chain
backdoor3,0,74d2c,,Undetermined,,Undetermined,,,0,0,1,0,0,0,0,NEW@<module>@client.py_slice.py|T:Undetermined|P:Undetermined
backdoor3,1,0e62c,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined->Undetermined,Undetermined->Undetermined,0,0,1,0,0,0,0,NEW@<module>@client.py_slice.py|T:Undetermined|P:Undetermined
backdoor3,2,3e05d,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined->Undetermined,Undetermined->Undetermined,0,0,1,0,0,0,0,NEW@<module>@client.py_slice.py|T:Undetermined|P:Undetermined
backdoor3,3,c5ce8,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined->Undetermined,Undetermined->Undetermined,0,0,1,0,0,0,0,NEW@<module>@client.py_slice.py|T:Undetermined|P:Undetermined
keylogger1,0,84329,,Undetermined,,Undetermined,,,0,0,1,0,0,0,0,NEW@<module>@keylogger.py_slice.py|T:Undetermined|P:Undetermined
keylogger1,1,feaad,Undetermined,Full Attack Chain,Undetermined,Full Attack Chain,Undetermined->Full Attack Chain,Undetermined->Full Attack Chain,1,1,1,1,1,0,0,NEW@<module>@keylogger.py_slice.py|T:Full Attack Chain|P:Full Attack Chain
keylogger1,2,6342b,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain->Full Attack Chain,Full Attack Chain->Full Attack Chain,1,1,1,1,1,1,1,NEW@<module>@keylogger.py_slice.py|T:Full Attack Chain|P:Full Attack Chain
keylogger2,0,3bf0b,,Core Attack Chain,,Core Attack Chain,,,1,1,1,1,1,0,0,NEW@<module>@keylogger.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
keylogger2,3,ef856,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,1,1,1,1,NEW@<body>@keylogger.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
keylogger2,4,96e94,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,1,1,1,1,NEW@<body>@keylogger.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
keylogger2,5,4a737,Core Attack Chain,Full Attack Chain,Core Attack Chain,Full Attack Chain,Core Attack Chain->Full Attack Chain,Core Attack Chain->Full Attack Chain,1,1,1,1,1,0,0,NEW@<body>@keylogger.py_slice.py|T:Full Attack Chain|P:Full Attack Chain
keylogger2,6,2bc69,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain->Full Attack Chain,Full Attack Chain->Full Attack Chain,1,1,1,1,1,1,1,NEW@<module>@keylogger.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
keylogger3,0,3f948,,Undetermined,,Undetermined,,,0,0,1,0,0,0,0,NEW@<module>@keylogger.py_slice.py|T:Undetermined|P:Undetermined
keylogger3,1,2e39e,Undetermined,Core Attack Chain,Undetermined,Core Attack Chain,Undetermined->Core Attack Chain,Undetermined->Core Attack Chain,1,1,1,1,1,0,0,NEW@<module>@keylogger.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
keylogger3,2,47879,Core Attack Chain,Full Attack Chain,Core Attack Chain,Full Attack Chain,Core Attack Chain->Full Attack Chain,Core Attack Chain->Full Attack Chain,1,1,1,1,1,0,0,NEW@<module>@keylogger.py_slice.py|T:Full Attack Chain|P:Full Attack Chain
keylogger4,3,33dc7,,Core Attack Chain,,Core Attack Chain,,,1,1,1,1,1,0,0,NEW@<body>@keylogger.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
keylogger4,4,b071d,Core Attack Chain,Full Attack Chain,Core Attack Chain,Full Attack Chain,Core Attack Chain->Full Attack Chain,Core Attack Chain->Full Attack Chain,1,1,2,2,2,0,0,NEW@<body>@keylogger.py_slice.py|T:Full Attack Chain|P:Full Attack Chain || NEW@<module>@keylogger.py_slice.py|T:Full Attack Chain|P:Full Attack Chain
keylogger5,0,12c40,,Core Attack Chain,,Core Attack Chain,,,1,1,1,1,1,0,0,NEW@<body>@keylogger.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
keylogger5,1,31e4c,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,1,1,1,1,NEW@<body>@keylogger.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
keylogger5,2,227fb,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,1,1,1,1,NEW@<body>@keylogger.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
keylogger5,3,e712e,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,1,1,1,1,NEW@<body>@keylogger.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
keylogger5,4,75f79,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,1,1,1,1,NEW@<module>@keylogger.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
ransomware1,1,98861,,Core Attack Chain,,Core Attack Chain,,,1,1,1,1,1,0,0,NEW@<module>@ransomware.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
ransomware1,2,954c7,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,1,1,1,1,NEW@<module>@ransomware.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
ransomware1,3,4eda8,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,1,1,1,1,NEW@<module>@ransomware.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
ransomware2,3,f4a30,,Undetermined,,Undetermined,,,0,0,1,0,0,0,0,NEW@<module>@encrypt.py_slice.py|T:Undetermined|P:Undetermined
ransomware2,4,96b1f,Undetermined,Core Attack Chain,Undetermined,Core Attack Chain,Undetermined->Core Attack Chain,Undetermined->Core Attack Chain,1,1,1,1,1,0,0,NEW@<module>@encrypt.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
ransomware2,5,c91af,Core Attack Chain,Core Attack Chain,Core Attack Chain,Full Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Full Attack Chain,1,1,1,1,1,1,0,NEW@<module>@encrypt.py_slice.py|T:Core Attack Chain|P:Full Attack Chain
ransomware2,6,76b79,Core Attack Chain,Core Attack Chain,Full Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Full Attack Chain->Core Attack Chain,1,1,1,1,1,1,0,NEW@<module>@encrypt.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
ransomware3,1,fba94,,Undetermined,,Undetermined,,,0,0,1,0,0,0,0,NEW@<module>@attack.py_slice.py|T:Undetermined|P:Undetermined
