repo_name,commit_num,commit,prev_true_snapshot_label,true_snapshot_label,prev_pred_snapshot_label,pred_snapshot_label,true_snapshot_transition,pred_snapshot_transition,true_snapshot_malicious,pred_snapshot_malicious,new_slice_count,new_true_malicious_count,new_pred_malicious_count,candidate_true_same_malicious,candidate_pred_same_malicious,new_slice_details
backdoor,3,3ce22,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain->Full Attack Chain,Full Attack Chain->Full Attack Chain,1,1,1,1,1,1,1,NEW@<module>@client.py_slice.py|T:Full Attack Chain|P:Full Attack Chain
backdoor2,3,ce157,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,1,1,1,1,NEW@<module>@reverse_shell.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
backdoor2,4,15433,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,1,1,1,1,NEW@<module>@reverse_shell.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
backdoor2,5,8216c,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,1,1,1,1,NEW@<module>@reverse_shell.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
backdoor2,6,faa7c,Core Attack Chain,Full Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Full Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,1,1,0,1,NEW@<module>@reverse_shell.py_slice.py|T:Full Attack Chain|P:Core Attack Chain
backdoor2,7,e1fd3,Full Attack Chain,Full Attack Chain,Core Attack Chain,Full Attack Chain,Full Attack Chain->Full Attack Chain,Core Attack Chain->Full Attack Chain,1,1,1,1,1,1,0,NEW@<module>@reverse_shell.py_slice.py|T:Full Attack Chain|P:Full Attack Chain
keylogger1,2,6342b,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain->Full Attack Chain,Full Attack Chain->Full Attack Chain,1,1,1,1,1,1,1,NEW@<module>@keylogger.py_slice.py|T:Full Attack Chain|P:Full Attack Chain
keylogger2,3,ef856,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,1,1,1,1,NEW@<body>@keylogger.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
keylogger2,4,96e94,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,1,1,1,1,NEW@<body>@keylogger.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
keylogger2,6,2bc69,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain->Full Attack Chain,Full Attack Chain->Full Attack Chain,1,1,1,1,1,1,1,NEW@<module>@keylogger.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
keylogger5,1,31e4c,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,1,1,1,1,NEW@<body>@keylogger.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
keylogger5,2,227fb,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,1,1,1,1,NEW@<body>@keylogger.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
keylogger5,3,e712e,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,1,1,1,1,NEW@<body>@keylogger.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
keylogger5,4,75f79,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,1,1,1,1,NEW@<module>@keylogger.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
ransomware1,2,954c7,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,1,1,1,1,NEW@<module>@ransomware.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
ransomware1,3,4eda8,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,1,1,1,1,NEW@<module>@ransomware.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
ransomware2,5,c91af,Core Attack Chain,Core Attack Chain,Core Attack Chain,Full Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Full Attack Chain,1,1,1,1,1,1,0,NEW@<module>@encrypt.py_slice.py|T:Core Attack Chain|P:Full Attack Chain
ransomware2,6,76b79,Core Attack Chain,Core Attack Chain,Full Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Full Attack Chain->Core Attack Chain,1,1,1,1,1,1,0,NEW@<module>@encrypt.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
ransomware3,4,e29aa,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain->Full Attack Chain,Full Attack Chain->Full Attack Chain,1,1,1,1,1,1,1,NEW@<module>@attack.py_slice.py|T:Full Attack Chain|P:Full Attack Chain
ransomware3,5,7d82f,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain->Full Attack Chain,Full Attack Chain->Full Attack Chain,1,1,1,1,1,1,1,NEW@<module>@attack.py_slice.py|T:Full Attack Chain|P:Full Attack Chain
ransomware4,5,f74df,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,1,1,1,1,NEW@<module>@ransomware.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
ransomware4,6,e8210,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,1,1,1,1,NEW@<module>@ransomware.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
ransomware5,2,262f1,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,2,2,2,1,1,NEW@<body>@cryptware.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<module>@cryptware.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
ransomware5,3,2e4e1,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,2,2,2,1,1,NEW@<body>@cryptware.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<module>@cryptware.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
ransomware6,3,546b3,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain->Full Attack Chain,Full Attack Chain->Full Attack Chain,1,1,1,1,1,1,1,NEW@<module>@ransomware.py_slice.py|T:Full Attack Chain|P:Full Attack Chain
ransomware7,1,ab143,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,1,1,1,1,NEW@<module>@ransomware.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
ransomware7,2,8770a,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,2,2,2,1,1,NEW@<body>@ransomware.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<module>@ransomware.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
ransomware7,3,d6a53,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,1,1,1,1,NEW@<module>@ransomware.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
reverseShell1,1,2ceaa,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain->Full Attack Chain,Full Attack Chain->Full Attack Chain,1,1,1,1,1,1,1,NEW@<module>@reverse.py_slice.py|T:Full Attack Chain|P:Full Attack Chain
reverseShell1,2,72770,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain->Full Attack Chain,Full Attack Chain->Full Attack Chain,1,1,1,1,1,1,1,NEW@<module>@reverse.py_slice.py|T:Full Attack Chain|P:Full Attack Chain
reverseShell1,3,a9d41,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain->Full Attack Chain,Full Attack Chain->Full Attack Chain,1,1,1,1,1,1,1,NEW@<module>@reverse.py_slice.py|T:Full Attack Chain|P:Full Attack Chain
reverseShell4,4,1c874,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,1,1,1,1,NEW@<module>@victim.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
reverseShell5,6,c8f00,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,1,1,1,1,NEW@<module>@reverse_ssl.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
simpleMalware1,3,cee65,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain->Full Attack Chain,Full Attack Chain->Full Attack Chain,1,1,1,1,1,1,1,NEW@<module>@attack.py_slice.py|T:Full Attack Chain|P:Full Attack Chain
virus1,1,981f2,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,1,1,1,1,NEW@<module>@virus.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
virus1,2,9aa98,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,1,1,1,1,NEW@<module>@virus.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
virus1,4,a166f,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain->Full Attack Chain,Full Attack Chain->Full Attack Chain,1,1,0,0,0,1,1,
virus2,3,e4abd,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain->Full Attack Chain,Full Attack Chain->Full Attack Chain,1,1,1,1,1,1,1,NEW@<body>@virus.py_slice.py|T:Full Attack Chain|P:Full Attack Chain
virus2,4,3423c,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain->Full Attack Chain,Full Attack Chain->Full Attack Chain,1,1,0,0,0,1,1,
worm1,3,57344,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,1,1,1,1,NEW@<body>@worm.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
worm1,4,a283e,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,1,1,1,1,NEW@<body>@worm.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
worm1,5,3a40a,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,1,1,1,1,NEW@<body>@worm.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
worm1,6,f9039,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,1,1,1,1,NEW@<module>@worm.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
worm1,7,2d706,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,1,1,1,1,NEW@<module>@worm.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
worm2,2,2947e,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,1,1,1,1,NEW@<body>@worm.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
