repo_name,commit_num,commit,code_slice,true_label,pred_label,error_type,reasoning
Python-Trojan,23,c7f9f,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,26,bad07,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,29,0c466,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,30,cae75,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,40,cfc93,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Python-Trojan,41,9f8d6,NEW@<module>@main.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Python-Trojan,42,3dc3b,NEW@<module>@main.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
Python-Trojan,42,3dc3b,NEW@on_message@main.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
ScaryMalware,4,e22de,NEW@<module>@malware.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
ScaryMalware,5,c5ff7,NEW@<module>@malware.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
ScaryMalware,8,3b2cc,NEW@<module>@malware.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
TheWeirdVirus,1,da27e,NEW@<module>@VirusLoop.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
Virus-Python,2,47c8f,NEW@<module>@gimme_money.py_slice.py,Core Attack Chain,Full Attack Chain,core_to_full,
wanna-smile,13,0ccc5,NEW@<module>@bin_wanna-smile.py_slice.py,Full Attack Chain,Core Attack Chain,full_to_core,
