repo_name,commit_num,commit,code_slice,classification,llm_classify_v2
1stMalware,0,3fd09,test.py__module__slice.py,Benign Artifact,Benign Artifact
1stMalware,1,ba466,modules_crypt_crypt.py__module__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,2,177b1,modules_crypt_crypt.py__module__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,2,177b1,test.py__module__slice.py,Benign Artifact,Benign Artifact
1stMalware,3,f5809,modules_crypt_crypt.py__body__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,3,f5809,modules_crypt_crypt.py_keycreation_metaClassAdapter__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,3,f5809,test.py__module__slice.py,Benign Artifact,Benign Artifact
1stMalware,3,f5809,modules_rights_getRights.py__body__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,3,f5809,modules_rights_getRights.py_takeTheOwn_metaClassAdapter__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,4,c45da,modules_crypt_crypt.py_useTheKey_metaClassAdapter__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,4,c45da,modules_crypt_crypt.py__body__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,4,c45da,modules_crypt_crypt.py___init___metaClassAdapter__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,4,c45da,modules_crypt_crypt.py_keyCreation_metaClassAdapter__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,4,c45da,modules_rights_getRights.py__body__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,4,c45da,modules_rights_getRights.py_takeTheOwn_metaClassAdapter__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,5,426f7,modules_crypt_crypt.py_useTheKey_metaClassAdapter__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,5,426f7,modules_crypt_crypt.py__body__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,5,426f7,modules_crypt_crypt.py___init___metaClassAdapter__slice.py,Undetermined Call Chain,Undetermined Call Chain
1stMalware,5,426f7,modules_crypt_crypt.py_keyCreation_metaClassAdapter__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,5,426f7,modules_rights_getRights.py__body__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,5,426f7,modules_rights_getRights.py_takeTheOwn_metaClassAdapter__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,6,21b58,modules_crypt_crypt.py_useTheKey_metaClassAdapter__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,6,21b58,modules_crypt_crypt.py__body__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,6,21b58,modules_crypt_crypt.py___init___metaClassAdapter__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,6,21b58,modules_crypt_crypt.py_keyCreation_metaClassAdapter__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,6,21b58,modules_crypt_crypt.py_exploreAll_metaClassAdapter__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,6,21b58,modules_rights_getRights.py__body__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,6,21b58,modules_network_smtp.py__module__slice.py,Full Attack Chain,Full Attack Chain
1stMalware,6,21b58,modules_rights_getRights.py_takeTheOwn_metaClassAdapter__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,7,3a8ed,modules_crypt_crypt.py_useTheKey_metaClassAdapter__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,7,3a8ed,modules_crypt_crypt.py__body__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,7,3a8ed,modules_crypt_crypt.py___init___metaClassAdapter__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,7,3a8ed,modules_crypt_crypt.py_keyCreation_metaClassAdapter__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,7,3a8ed,modules_crypt_crypt.py_exploreAll_metaClassAdapter__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,7,3a8ed,modules_rights_getRights.py__body__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,7,3a8ed,modules_rights_getRights.py_takeTheOwn_metaClassAdapter__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,7,3a8ed,modules_network_stmpgmail.py__module__slice.py,Full Attack Chain,Full Attack Chain
1stMalware,8,03ca7,modules_crypt_crypt.py_useTheKey_metaClassAdapter__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,8,03ca7,modules_crypt_crypt.py__body__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,8,03ca7,modules_crypt_crypt.py___init___metaClassAdapter__slice.py,Undetermined Call Chain,Undetermined Call Chain
1stMalware,8,03ca7,modules_crypt_crypt.py_keyCreation_metaClassAdapter__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,8,03ca7,modules_crypt_crypt.py_exploreAll_metaClassAdapter__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,8,03ca7,modules_rights_getRights.py__body__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,8,03ca7,modules_rights_getRights.py_takeTheOwn_metaClassAdapter__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,9,47f7a,modules_crypt_crypt.py_useTheKey_metaClassAdapter__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,9,47f7a,modules_crypt_crypt.py__body__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,9,47f7a,modules_crypt_crypt.py___init___metaClassAdapter__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,9,47f7a,modules_crypt_crypt.py_keyCreation_metaClassAdapter__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,9,47f7a,modules_crypt_crypt.py_exploreAll_metaClassAdapter__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,9,47f7a,modules_rights_getRights.py__body__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,9,47f7a,modules_rights_getRights.py_takeTheOwn_metaClassAdapter__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,10,3a1e0,modules_crypt_crypt.py_useTheKey_metaClassAdapter__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,10,3a1e0,modules_crypt_crypt.py__body__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,10,3a1e0,modules_crypt_crypt.py___init___metaClassAdapter__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,10,3a1e0,modules_crypt_crypt.py_keyCreation_metaClassAdapter__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,10,3a1e0,modules_crypt_crypt.py_exploreAll_metaClassAdapter__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,10,3a1e0,modules_rights_getRights.py__body__slice.py,Core Attack Chain,Core Attack Chain
1stMalware,10,3a1e0,modules_rights_getRights.py_processus_metaClassAdapter__slice.py,Core Attack Chain,Core Attack Chain
Backdoorcreator,0,04d0c,backdoorcreate.py__module__slice.py,Core Attack Chain,Core Attack Chain
Backdoorcreator,0,04d0c,server.py__module__slice.py,Benign Artifact,Benign Artifact
