repo_name,commit_num,commit,code_slice,ground_truth,prediction
xortool,0,a3eb9,NEW@<module>@xortool.py_slice.py,Benign,Benign
xortool,1,5e835,<module>@xortool.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
xortool,1,5e835,NEW@<module>@routine.py_slice.py,Full Attack Chain,Full Attack Chain
xortool,1,5e835,NEW@<module>@xortool_new.py_slice.py,Benign,Benign
xortool,2,47451,NEW@<module>@xortool.py_slice.py,Benign,Benign
xortool,2,47451,NEW@<module>@xortool_old.py_slice.py,Benign,Benign
xortool,2,47451,NEW@<module>@routine.py_slice.py,Benign,Benign
xortool,3,12a63,NEW@<module>@xortool.py_slice.py,Benign,Benign
xortool,3,12a63,NEW@<module>@routine.py_slice.py,Benign,Benign
xortool,4,f5a98,<module>@xortool.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
xortool,4,f5a98,NEW@<module>@routine.py_slice.py,Benign,Benign
xortool,5,b538a,NEW@<module>@xortool.py_slice.py,Benign,Benign
xortool,5,b538a,NEW@<module>@routine.py_slice.py,Benign,Benign
xortool,6,ce9c0,NEW@<module>@xortool.py_slice.py,Benign,Benign
xortool,6,ce9c0,NEW@<module>@routine.py_slice.py,Benign,Benign
xortool,7,ae217,NEW@<module>@xortool.py_slice.py,Benign,Benign
xortool,7,ae217,NEW@<module>@routine.py_slice.py,Benign,Benign
xortool,8,e0d24,NEW@<module>@xortool.py_slice.py,Benign,Benign
xortool,8,e0d24,<module>@routine.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
xortool,9,80ced,NEW@<module>@xortool.py_slice.py,Benign,Benign
xortool,9,80ced,NEW@<module>@routine.py_slice.py,Benign,Benign
xortool,10,87e98,NEW@<module>@xortool.py_slice.py,Benign,Benign
xortool,10,87e98,<module>@routine.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
xortool,11,33088,NEW@<module>@xortool.py_slice.py,Benign,Benign
xortool,11,33088,NEW@<module>@routine.py_slice.py,Benign,Benign
xortool,12,82cc5,NEW@<module>@xortool.py_slice.py,Benign,Benign
xortool,12,82cc5,NEW@<module>@routine.py_slice.py,Benign,Benign
xortool,13,e752a,NEW@<module>@xortool.py_slice.py,Benign,Benign
xortool,13,e752a,<module>@routine.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
xortool,14,fec63,NEW@<module>@xortool.py_slice.py,Benign,Benign
xortool,14,fec63,<module>@routine.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
xortool,15,1645f,NEW@<module>@xortool.py_slice.py,Benign,Benign
xortool,15,1645f,NEW@<module>@routine.py_slice.py,Benign,Benign
xortool,16,e06ce,NEW@<module>@xortool.py_slice.py,Benign,Benign
xortool,16,e06ce,NEW@<module>@routine.py_slice.py,Undetermined,Undetermined
xortool,17,08b97,NEW@<module>@tools_xor.py_slice.py,Benign,Benign
xortool,17,08b97,<module>@xortool.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
xortool,17,08b97,<module>@routine.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
xortool,18,d8f22,NEW@<module>@xortool_routine.py_slice.py,Benign,Benign
xortool,19,b7e87,<module>@xortool_routine.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
xortool,20,24bc3,<module>@xortool_routine.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
xortool,21,acd5d,NEW@<module>@setup.py_slice.py,Benign,Benign
xortool,21,acd5d,<module>@xortool_routine.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
xortool,22,6faf1,<module>@xortool_routine.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
xortool,22,6faf1,<module>@setup.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
xortool,23,ab8c9,<module>@xortool_routine.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
xortool,23,ab8c9,<module>@setup.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
xortool,24,1a28d,NEW@<module>@setup.py_slice.py,Benign,Benign
xortool,24,1a28d,<module>@xortool_routine.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
xortool,25,74891,NEW@<module>@setup.py_slice.py,Benign,Benign
xortool,25,74891,<module>@xortool_routine.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
xortool,26,64ec7,<module>@xortool_routine.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
xortool,26,64ec7,<module>@setup.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
xortool,27,095bc,<module>@xortool_routine.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
xortool,27,095bc,<module>@setup.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
xortool,28,1bd8f,<module>@xortool_routine.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
xortool,28,1bd8f,<module>@setup.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
xortool,29,dbc10,<module>@xortool_routine.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
xortool,29,dbc10,<module>@setup.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
xortool,30,e0532,<module>@xortool_routine.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
xortool,30,e0532,<module>@setup.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
xortool,31,bfd80,<module>@xortool_routine.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
xortool,31,bfd80,<module>@setup.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
xortool,32,ca406,<module>@xortool_routine.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
xortool,32,ca406,<module>@setup.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
xortool,33,2e7a7,<module>@xortool_routine.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
xortool,33,2e7a7,<module>@setup.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
xortool,34,ee0f4,<module>@xortool_routine.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
xortool,34,ee0f4,<module>@setup.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
xortool,35,efa84,<module>@xortool_routine.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
