repo_name,commit_num,commit,code_slice,classification,result_two_steps
backdoor,1,b94ad,NEW@<body>@client.py_slice.py,Undetermined,Undetermined
backdoor,2,904d3,NEW@<body>@client.py_slice.py,Full Attack Chain,Full Attack Chain
backdoor,3,3ce22,NEW@<module>@client.py_slice.py,Full Attack Chain,Full Attack Chain
backdoor,3,3ce22,<body>@client.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
backdoor1,0,19f7b,NEW@<module>@victim.py_slice.py,Undetermined,Undetermined
backdoor2,1,4982e,NEW@<module>@reverse_shell.py_slice.py,Undetermined,Undetermined
backdoor2,2,003bd,NEW@<module>@reverse_shell.py_slice.py,Core Attack Chain,Core Attack Chain
backdoor2,3,ce157,NEW@<module>@reverse_shell.py_slice.py,Core Attack Chain,Core Attack Chain
backdoor2,4,15433,NEW@<module>@reverse_shell.py_slice.py,Core Attack Chain,Core Attack Chain
backdoor2,5,8216c,NEW@<module>@reverse_shell.py_slice.py,Core Attack Chain,Core Attack Chain
backdoor2,6,faa7c,NEW@<module>@reverse_shell.py_slice.py,Full Attack Chain,Core Attack Chain
backdoor2,7,e1fd3,NEW@<module>@reverse_shell.py_slice.py,Full Attack Chain,Full Attack Chain
backdoor3,0,74d2c,NEW@<module>@client.py_slice.py,Undetermined,Undetermined
backdoor3,1,0e62c,NEW@<module>@client.py_slice.py,Undetermined,Undetermined
backdoor3,2,3e05d,NEW@<module>@client.py_slice.py,Undetermined,Undetermined
backdoor3,3,c5ce8,NEW@<module>@client.py_slice.py,Undetermined,Undetermined
keylogger1,0,84329,NEW@<module>@keylogger.py_slice.py,Undetermined,Undetermined
keylogger1,1,feaad,NEW@<module>@keylogger.py_slice.py,Full Attack Chain,Full Attack Chain
keylogger1,2,6342b,NEW@<module>@keylogger.py_slice.py,Full Attack Chain,Full Attack Chain
keylogger2,0,3bf0b,NEW@<module>@keylogger.py_slice.py,Core Attack Chain,Core Attack Chain
keylogger2,3,ef856,NEW@<body>@keylogger.py_slice.py,Core Attack Chain,Core Attack Chain
keylogger2,4,96e94,NEW@<body>@keylogger.py_slice.py,Core Attack Chain,Core Attack Chain
keylogger2,5,4a737,NEW@<body>@keylogger.py_slice.py,Full Attack Chain,Full Attack Chain
keylogger2,6,2bc69,NEW@<module>@keylogger.py_slice.py,Core Attack Chain,Core Attack Chain
keylogger2,6,2bc69,<body>@keylogger.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
keylogger3,0,3f948,NEW@<module>@keylogger.py_slice.py,Undetermined,Undetermined
keylogger3,1,2e39e,NEW@<module>@keylogger.py_slice.py,Core Attack Chain,Core Attack Chain
keylogger3,2,47879,NEW@<module>@keylogger.py_slice.py,Full Attack Chain,Full Attack Chain
keylogger4,3,33dc7,NEW@<body>@keylogger.py_slice.py,Core Attack Chain,Core Attack Chain
