1stMalware,14,10
AlienWare,6,3
Backdoorcreator,20,5
Basic-Keylogger,10,4
BskyBot,23,13
Cerberus,75,9
Chrome_pass_stealer,23,9
Doomed,31,9
EvilCrow,6,3
GonnaCry,474,211
HackerDoomsday,67,24
Hallucinate,27,5
Infinite-Folder-Virus,22,16
KMike,74,37
KRYPT0S-Ransomware_POC,218,113
KeySpy,48,26
Keylogger,7,4
Keylogger,5,3
MakeMalware_EthicalHacking,35,17
Malicious-Debian-Package-Maker,26,13
Malware,8,2
Malware,15,12
Malware-Examples,85,10
Malware-Sandbox-Simulation-,6,2
Malware-Series,113,92
Malware_Python,45,25
MirageLink-rat-gui,38,27
NetWorm,36,17
PY-RAT,31,13
PizzaVirus,15,10
PyDoor,439,401
PySilon-malware,749,449
Python-Backdoor,280,176
Python-Malware,109,93
Python-RAT,43,37
Python-Rootkit,41,22
Python-Trojan,102,42
Python-malware-example,10,4
Python-malware-example,10,4
Python-ransomware,17,7
PythonMalDev,7,3
PythonMalware,3,2
PythonMalware,8,7
PythonReverseShellBasic,11,7
PythonVirusExamples,3,2
PythonVirusStiller,16,6
Python_KeyLogger_Prototype,12,10
Python_Malware,22,20
RansomPy-Covid19,310,209
ScaryMalware,27,11
Spyware,50,46
TheWeirdVirus,19,8
Thesis-MyZombPy,46,43
Trojan,19,1
UndetectMalware,5,3
Virus-Python,11,6
Virus000,13,7
WannaHappy,12,6
Wormy,9,5
Yakuza_Malwares_Arsenal,88,74
beep,17,12
crypto-clipper,28,5
dojo6oct16,20,14
exo,754,417
funny-virus,52,19
iobdug_malware_py,11,4
keylogger,54,43
linux-root-kit,19,1
little-python-malware,6,4
malware-01,4,3
malware-educational-purpose-,8,5
malware-in-python,15,1
megaloptera,30,7
parvox,12,10
pinkcord,270,73
python-malware,35,10
python-malware,31,8
python-malware,15,14
python-malware,9,2
raccoon_clipper,120,3
ransomware,9,3
ransomware_malware,7,6
shameleon,86,10
simple-virus-python,19,10
simple-worm,258,181
steal-all-files,14,6
telegram_stealer,9,3
virus,11,6
virus-chan,5,4
virus-replicator,16,10
virus.py,27,12
wanna-smile,53,13
winrar-SFX-0day-exploiter,5,3
